,Términos,enfado.4,ansiedad,tristeza.4,positiva,negativa
367,despreocupadas,0.0,0.0,0.0,1.0,0.0
368,despreocupado,0.0,0.0,0.0,1.0,0.0
369,despreocupados,0.0,0.0,0.0,1.0,0.0
370,destrozada,0.0,0.0,0.0,0.0,0.0
371,destrozado,0.0,0.0,0.0,0.0,0.0
372,destrucción,0.0,0.0,0.0,0.0,0.0
373,destruir,1.0,0.0,0.0,0.0,1.0
374,deterioro,0.0,0.0,0.0,0.0,0.0
375,devastación,0.0,0.0,1.0,0.0,1.0
376,devastada,0.0,0.0,1.0,0.0,1.0
377,devastado,0.0,0.0,1.0,0.0,1.0
378,devastados,0.0,0.0,1.0,0.0,1.0
379,devastador,0.0,0.0,1.0,0.0,1.0
380,devastar,0.0,0.0,1.0,0.0,1.0
381,diablo,0.0,0.0,0.0,0.0,1.0
382,diablos,0.0,0.0,0.0,0.0,1.0
383,dichosa,0.0,0.0,0.0,0.0,0.0
384,dichosas,0.0,0.0,0.0,0.0,0.0
385,dichoso,0.0,0.0,0.0,0.0,0.0
386,dichosos,0.0,0.0,0.0,0.0,0.0
387,dificultad,0.0,0.0,0.0,0.0,1.0
388,difunta,0.0,0.0,0.0,0.0,1.0
389,difuntos,0.0,0.0,0.0,0.0,0.0
390,difunto,0.0,0.0,0.0,0.0,0.0
391,dignidad,0.0,0.0,0.0,1.0,0.0
392,dinero,0.0,0.0,0.0,0.0,0.0
393,diosa,0.0,0.0,0.0,0.0,0.0
394,dios,0.0,0.0,0.0,0.0,0.0
395,discutir,1.0,0.0,0.0,0.0,1.0
396,disfrutando,0.0,0.0,0.0,1.0,0.0
397,disfrutar,0.0,0.0,0.0,1.0,0.0
398,disgustos,0.0,0.0,0.0,0.0,1.0
399,disgusto,0.0,0.0,0.0,0.0,1.0
400,disputas,1.0,0.0,0.0,0.0,1.0
401,disputa,1.0,0.0,0.0,0.0,1.0
402,disturbio,0.0,1.0,0.0,0.0,1.0
403,disturbios,0.0,1.0,0.0,0.0,1.0
404,diversión,0.0,0.0,0.0,1.0,0.0
405,divertidísimo,0.0,0.0,0.0,1.0,0.0
406,divertida,0.0,0.0,0.0,1.0,0.0
407,divertidas,0.0,0.0,0.0,1.0,0.0
408,divertidos,0.0,0.0,0.0,1.0,0.0
409,divertido,0.0,0.0,0.0,1.0,0.0
410,dolorosa,0.0,0.0,0.0,0.0,1.0
411,dolorosas,0.0,0.0,0.0,0.0,1.0
412,dolorosos,0.0,0.0,0.0,0.0,1.0
413,doloroso,0.0,0.0,0.0,0.0,1.0
414,dominación,1.0,0.0,0.0,1.0,1.0
415,dominar,1.0,0.0,0.0,1.0,1.0
416,dulce,0.0,0.0,0.0,1.0,0.0
417,dulces,0.0,0.0,0.0,1.0,0.0
418,dulzura,0.0,0.0,0.0,0.0,0.0
419,dureza,0.0,0.0,0.0,0.0,0.0
420,elegancia,0.0,0.0,0.0,1.0,0.0
421,elegantes,0.0,0.0,0.0,1.0,0.0
422,elegante,0.0,0.0,0.0,1.0,0.0
423,élite,0.0,0.0,0.0,0.0,0.0
424,embolia,0.0,0.0,0.0,0.0,0.0
425,embolia,0.0,0.0,0.0,0.0,0.0
426,emocionada,0.0,0.0,0.0,1.0,0.0
